SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
BLS,EQ,182.3,192.4,180.0,191.05,191.5,181.2,68481,12955658.8,2017-06-28,791,INE153T01027
BLUEBLENDS,EQ,61.4,61.5,55.5,55.95,55.5,61.65,285726,16315861.1,2017-06-28,1708,INE113O01014
BLUEDART,EQ,4249.95,4316.95,4213.0,4302.6,4291.0,4238.35,34738,149294718.5,2017-06-28,1210,INE233B01017
BLUEDART,N1,10.1,10.1,10.1,10.1,10.1,10.02,6000,60600.0,2017-06-28,8,INE233B08087
BLUESTARCO,EQ,606.4,611.0,580.0,602.35,601.0,609.55,15255,9177727.75,2017-06-28,1139,INE472A01039
BODALCHEM,EQ,158.7,158.7,156.1,157.25,156.5,157.85,102104,16054601.7,2017-06-28,1791,INE338D01028
BOHRA,SM,47.1,47.1,47.0,47.0,47.0,51.0,4000,188200.0,2017-06-28,2,INE802W01015
BOMDYEING,EQ,80.95,82.85,80.55,81.7,81.5,80.7,1860606,151984195.55,2017-06-28,10717,INE032A01023
BOSCHLTD,EQ,23240.0,23550.0,23140.05,23309.05,23201.75,23247.5,8558,199775281.75,2017-06-28,3004,INE323A01026
BPCL,EQ,610.0,624.6,608.65,616.7,617.1,612.05,3532200,2186043558.9,2017-06-28,101719,INE029A01011
BPL,EQ,66.75,67.3,65.0,65.6,65.6,66.85,290619,19136328.6,2017-06-28,2192,INE110A01019
BRFL,EQ,134.0,136.0,129.1,134.6,134.0,133.6,152446,20385217.05,2017-06-28,931,INE589G01011
BRIGADE,EQ,266.2,272.6,262.8,268.1,265.95,267.4,50789,13614915.35,2017-06-28,1796,INE791I01019
BRITANNIA,EQ,3645.0,3675.6,3590.05,3636.15,3650.0,3647.55,128578,466377664.35,2017-06-28,20470,INE216A01022
BROOKS,EQ,105.85,105.85,101.1,102.5,103.5,104.0,28907,2983724.75,2017-06-28,475,INE650L01011
BSE,EQ,1048.0,1080.5,1040.0,1074.05,1074.0,1048.3,73849,78373269.6,2017-06-28,3564,INE118H01025
BSELINFRA,EQ,4.3,4.3,4.05,4.2,4.2,4.2,53089,223217.15,2017-06-28,70,INE395A01016
BSL,EQ,72.9,74.85,72.9,73.15,72.95,73.0,2343,172028.3,2017-06-28,26,INE594B01012
BSLGOLDETF,EQ,2739.0,2739.0,2666.0,2666.0,2666.0,2691.0,7,18808.0,2017-06-28,4,INF209K01HT2
BSLIMITED,EQ,1.65,1.65,1.55,1.65,1.6,1.65,445735,714168.95,2017-06-28,340,INE043K01029
BSLNIFTY,EQ,100.25,100.25,100.25,100.25,100.25,102.99,2,200.5,2017-06-28,2,INF209K01IR4
BURNPUR,EQ,8.8,9.1,8.5,8.65,8.7,8.85,572031,5069563.55,2017-06-28,730,INE817H01014
BUTTERFLY,EQ,183.0,187.55,181.3,183.95,183.65,185.25,7311,1347285.95,2017-06-28,254,INE295F01017
BVCL,BE,32.0,33.45,32.0,33.2,33.2,33.65,6108,199333.95,2017-06-28,20,INE139I01011
BYKE,EQ,185.0,187.4,184.5,185.05,184.5,185.8,50803,9419712.45,2017-06-28,421,INE319B01014
CADILAHC,EQ,526.4,532.0,522.1,527.7,528.0,526.6,541658,285714223.85,2017-06-28,12777,INE010B01027
CAMLINFINE,EQ,90.7,92.0,85.35,86.2,85.85,89.6,461229,41117790.65,2017-06-28,4490,INE052I01032
CANBK,EQ,318.4,328.0,317.1,326.0,327.4,323.8,3746081,1212070236.95,2017-06-28,28818,INE476A01014
CANDC,BE,65.5,71.4,65.5,71.4,71.4,68.0,18728,1290963.7,2017-06-28,159,INE874H01015
CANFINHOME,EQ,3035.0,3125.0,3000.0,3109.35,3121.0,3066.25,187811,578042840.5,2017-06-28,11898,INE477A01012
CANTABIL,EQ,67.05,68.5,67.05,67.5,67.3,67.8,4882,329561.75,2017-06-28,30,INE068L01016
CAPF,EQ,650.0,674.0,642.1,670.75,671.0,657.0,653341,432519790.2,2017-06-28,14951,INE688I01017
CAPLIPOINT,EQ,563.0,566.95,550.05,553.25,552.95,563.35,45394,25341714.45,2017-06-28,3038,INE475E01026
CAPTRUST,EQ,375.0,377.5,370.0,375.4,377.5,373.4,2046,766766.55,2017-06-28,71,INE707C01018
CARBORUNIV,EQ,323.6,331.0,321.3,322.85,322.0,325.3,56194,18207175.95,2017-06-28,2487,INE120A01034
CAREERP,EQ,98.7,104.0,98.7,102.4,103.0,99.35,11229,1151505.05,2017-06-28,367,INE521J01018
CARERATING,EQ,1438.0,1473.0,1404.45,1422.2,1415.0,1438.05,22380,32184042.15,2017-06-28,3481,INE752H01013
CASTEXTECH,EQ,7.1,8.2,6.5,7.8,8.15,7.2,3015092,22399796.4,2017-06-28,2773,INE068D01021
CASTROLIND,EQ,406.95,407.0,402.5,403.55,403.0,406.35,590036,238613723.55,2017-06-28,8595,INE172A01027
CCCL,EQ,5.25,5.4,5.15,5.15,5.15,5.4,300020,1556869.7,2017-06-28,170,INE429I01024
CCHHL,EQ,13.3,14.5,13.0,13.85,13.9,12.65,1071704,14852353.55,2017-06-28,2662,INE652F01027
CCL,EQ,285.0,293.9,281.15,287.65,287.0,282.55,56081,16127277.2,2017-06-28,3507,INE421D01022
CEATLTD,EQ,1781.0,1820.0,1755.6,1809.8,1820.0,1781.65,807290,1446260248.7,2017-06-28,23005,INE482A01020
CEBBCO,EQ,11.0,11.2,10.95,11.15,11.15,11.05,25921,287564.8,2017-06-28,96,INE209L01016
CELEBRITY,EQ,14.9,14.9,13.75,14.0,14.2,14.4,49058,695867.45,2017-06-28,215,INE185H01016
CELESTIAL,EQ,22.5,23.0,22.35,22.45,22.5,22.7,34752,783783.75,2017-06-28,194,INE221I01017
CENTENKA,EQ,364.0,391.5,364.0,384.25,388.7,363.95,85831,32774149.8,2017-06-28,3509,INE485A01015
CENTEXT,EQ,4.65,4.9,4.65,4.7,4.75,4.75,30006,141100.8,2017-06-28,61,INE281A01026
CENTRALBK,EQ,88.5,88.9,87.0,87.4,87.0,88.85,754141,66142662.85,2017-06-28,2888,INE483A01010
CENTUM,EQ,680.05,703.0,673.0,686.95,688.0,692.7,3148,2162600.95,2017-06-28,203,INE320B01020
